Employee_ID,year_month,Annual_load_cost_per_month
57,2000-07,9329
57,2000-08,9329
57,2000-09,9329
57,2000-10,9329
57,2000-11,9329
57,2000-12,9329
57,2001-01,9329
57,2001-02,9329
57,2001-03,9467
57,2001-04,9467
57,2001-05,9467
57,2001-06,9467
57,2001-07,9467
57,2001-08,9467
57,2001-09,9467
57,2001-10,9467
57,2001-11,9467
57,2001-12,9467
57,2002-01,9467
57,2002-02,9467
57,2002-03,9527
57,2002-04,9527
57,2002-05,9527
57,2002-06,9527
57,2002-07,9527
57,2002-08,9527
57,2002-09,9527
57,2002-10,9527
57,2002-11,9527
57,2002-12,9527
57,2003-01,9527
57,2003-02,9527
57,2003-03,9527
57,2003-04,9527
57,2003-05,9527
57,2003-06,9527
57,2003-07,9527
57,2003-08,9527
57,2003-09,9527
57,2003-10,9527
57,2003-11,9527
57,2003-12,9527
57,2004-01,9527
57,2004-02,9527
57,2004-03,9527
57,2004-04,9527
57,2004-05,9527
57,2004-06,9527
57,2004-07,9527
57,2004-08,9527
57,2004-09,9527
57,2004-10,9527
57,2004-11,9527
57,2004-12,9527
57,2005-01,9527
57,2005-02,9527
57,2005-03,9527
57,2005-04,9527
57,2005-05,9527
57,2005-06,9527
57,2005-07,9527
57,2005-08,9527
57,2005-09,9527
57,2005-10,9527
57,2005-11,9527
57,2005-12,9527
57,2006-01,9527
57,2006-02,9527
57,2006-03,9527
57,2006-04,9527
57,2006-05,9527
57,2006-06,9527
57,2006-07,9527
57,2006-08,9527
57,2006-09,9527
57,2006-10,9527
57,2006-11,9527
57,2006-12,9527
57,2007-01,9527
57,2007-02,9527
57,2007-03,9527
57,2007-04,9527
57,2007-05,9527
57,2007-06,9527
57,2007-07,9527
57,2007-08,9527
57,2007-09,9527
57,2007-10,9527
57,2007-11,9527
57,2007-12,9527
57,2008-01,9527
57,2008-02,9527
57,2008-03,9527
57,2008-04,9527
57,2008-05,9527
57,2008-06,9527
57,2008-07,9527
57,2008-08,9527
57,2008-09,9527
57,2008-10,9527
57,2008-11,9527
57,2008-12,9527
57,2009-01,9527
57,2009-02,9527
57,2009-03,9527
57,2009-04,9527
57,2009-05,9527
57,2009-06,9527
57,2009-07,9527
57,2009-08,9527
57,2009-09,9565
57,2009-10,9565
57,2009-11,9565
57,2009-12,9565
57,2010-01,9565
57,2010-02,9565
57,2010-03,9565
57,2010-04,9565
57,2010-05,9565
57,2010-06,9565
57,2010-07,9565
57,2010-08,9565
57,2010-09,9565
57,2010-10,9565
57,2010-11,9565
57,2010-12,9565
57,2011-01,9565
57,2011-02,9565
57,2011-03,9565
57,2011-04,9565
57,2011-05,9565
57,2011-06,9565
57,2011-07,9565
57,2011-08,9565
57,2011-09,9565
57,2011-10,9565
57,2011-11,9786
57,2011-12,9786
57,2012-01,9786
57,2012-02,9786
57,2012-03,9786
57,2012-04,9786
57,2012-05,9786
57,2012-06,9786
57,2012-07,9786
57,2012-08,9786
57,2012-09,9786
57,2012-10,9786
57,2012-11,9786
57,2012-12,9786
57,2013-01,9786
57,2013-02,9786
57,2013-03,9786
57,2013-04,9786
57,2013-05,9786
57,2013-06,9786
57,2013-07,9786
57,2013-08,9786
57,2013-09,9786
57,2013-10,9786
57,2013-11,9786
57,2013-12,9786
57,2014-01,9786
57,2014-02,9786
57,2014-03,9786
57,2014-04,9786
57,2014-05,9786
57,2014-06,9786
57,2014-07,9786
57,2014-08,9786
