Employee_ID,AIC_unitless,MAPE_%,RMSE_$,ARIMA_order,Seasonal_order
57,3584.44,1.2,233.79,"(1,1,1)","(12,1,12,12)"
58,3356.11,0.37,63.63,"(1,1,1)","(12,1,12,12)"
59,3575.4,11.26,2141.07,"(1,1,1)","(12,1,12,12)"
60,3461.57,1.19,114.02,"(1,1,1)","(12,1,12,12)"
61,4142.35,1.2,444.58,"(1,1,1)","(12,1,12,12)"
62,4081.74,22.24,7639.29,"(1,1,1)","(12,1,12,12)"
63,3494.28,2.36,275.2,"(1,1,1)","(12,1,12,12)"
64,2971.32,6.9,1073.3,"(1,1,1)","(12,1,12,12)"
65,3354.63,0.23,37.97,"(1,1,1)","(12,1,12,12)"
66,3669.55,0.65,123.81,"(1,1,1)","(12,1,12,12)"
67,3424.24,7.24,1203.08,"(1,1,1)","(12,1,12,12)"
68,3340.82,0.59,70.79,"(1,1,1)","(12,1,12,12)"
69,3391.77,14.38,1703.73,"(1,1,1)","(12,1,12,12)"
70,3376.4,3.08,265.57,"(1,1,1)","(12,1,12,12)"
71,3523.3,1.34,138.98,"(1,1,1)","(12,1,12,12)"
72,3091.65,24.15,6011.71,"(1,1,1)","(12,1,12,12)"
73,3915.16,8.17,2605.92,"(1,1,1)","(12,1,12,12)"
74,3499.03,1.64,156.92,"(1,1,1)","(12,1,12,12)"
75,3928.07,0.41,146.98,"(1,1,1)","(12,1,12,12)"
76,3938.52,3.69,1798.35,"(1,1,1)","(12,1,12,12)"
77,2469.54,15.47,5101.5,"(1,1,1)","(12,1,12,12)"
78,3947.25,1.5,370.2,"(1,1,1)","(12,1,12,12)"
79,3803.8,1.3,235.01,"(1,1,1)","(12,1,12,12)"
80,2318.06,14.05,1651.89,"(1,1,1)","(12,1,12,12)"
81,3449.16,0.99,102.73,"(1,1,1)","(12,1,12,12)"
82,3440.5,0.5,64.58,"(1,1,1)","(12,1,12,12)"
83,3353.65,11.16,1260.49,"(1,1,1)","(12,1,12,12)"
84,3351.59,1.19,107.92,"(1,1,1)","(12,1,12,12)"
85,3557.64,0.69,94.79,"(1,1,1)","(12,1,12,12)"
86,3369.73,11.55,1461.72,"(1,1,1)","(12,1,12,12)"
87,3523.87,2.69,640.41,"(1,1,1)","(12,1,12,12)"
88,3166.25,1.25,94.2,"(1,1,1)","(12,1,12,12)"
89,2227.67,11.65,1321.34,"(1,1,1)","(12,1,12,12)"
90,3703.86,1.41,231.63,"(1,1,1)","(12,1,12,12)"
91,3657.24,0.93,166.65,"(1,1,1)","(12,1,12,12)"
92,3532.79,0.81,120.01,"(1,1,1)","(12,1,12,12)"
